date,site.id,influx
2014-11-19,85,0
2014-11-19,86,0
2014-11-19,89,25
2014-11-19,90,10
2014-11-19,100,0
2014-11-19,101,0
2014-11-19,102,0
2014-11-19,103,0
2014-11-19,105,3
2014-11-19,146,2
2014-11-19,147,0
2014-11-19,149,0
2014-11-19,150,0
2014-11-19,151,0
2014-11-20,1,14
2014-11-20,3,53
2014-11-20,5,0
2014-11-20,8,0
2014-11-20,10,0
2014-11-20,11,0
2014-11-20,14,0
2014-11-20,16,0
2014-11-20,17,0
2014-11-20,18,0
2014-11-20,20,0
2014-11-20,21,0
2014-11-20,22,0
2014-11-20,24,0
2014-11-20,25,0
2014-11-20,28,0
2014-11-20,34,0
2014-11-20,36,0
2014-11-20,37,0
2014-11-20,38,0
2014-11-20,39,0
2014-11-20,40,0
2014-11-20,47,51
2014-11-20,51,0
2014-11-20,53,0
2014-11-20,62,0
2014-11-20,63,0
2014-11-20,64,0
2014-11-20,66,9
2014-11-20,68,0
2014-11-20,69,0
2014-11-20,78,0
2014-11-20,79,0
2014-11-20,85,0
2014-11-20,86,0
2014-11-20,89,20
2014-11-20,90,21
2014-11-20,100,0
2014-11-20,101,0
2014-11-20,102,0
2014-11-20,103,0
2014-11-20,105,11
2014-11-20,146,2
2014-11-20,147,0
2014-11-20,149,0
2014-11-20,150,0
2014-11-20,151,12
2014-11-21,1,32
2014-11-21,3,105
2014-11-21,5,0
2014-11-21,8,0
2014-11-21,10,0
2014-11-21,11,0
2014-11-21,14,0
2014-11-21,16,0
2014-11-21,17,0
2014-11-21,18,0
2014-11-21,20,0
2014-11-21,21,0
2014-11-21,22,0
2014-11-21,24,0
2014-11-21,25,0
2014-11-21,28,0
2014-11-21,34,0
2014-11-21,36,0
2014-11-21,37,0
2014-11-21,38,0
2014-11-21,39,0
2014-11-21,40,0
2014-11-21,47,14
2014-11-21,51,0
2014-11-21,53,0
2014-11-21,62,0
2014-11-21,63,0
2014-11-21,64,0
2014-11-21,66,1
2014-11-21,68,0
2014-11-21,69,0
2014-11-21,78,0
